"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_04182___146472_1","cysP","K02048","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","sulfate transport system substrate-binding protein","cysP, sbp"
"PROKKA_04182___146472_1","cysP","K02048","Metabolism"," Energy metabolism","  00920 Sulfur metabolism [PATH:ko00920]","sulfate transport system substrate-binding protein","cysP, sbp"
"PROKKA_04187___146482_1","lon_2","K01338","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","ATP-dependent Lon protease","lon"
"PROKKA_04195___146498_1","group_22690","K01424","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","L-asparaginase","E3.5.1.1, ansA, ansB"
"PROKKA_04195___146498_1","group_22690","K01424","Metabolism"," Metabolism of other amino acids","  00460 Cyanoamino acid metabolism [PATH:ko00460]","L-asparaginase","E3.5.1.1, ansA, ansB"
"PROKKA_04202___146512_1","bacA_2","K02471","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein","bacA"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Carbohydrate metabolism","  00640 Propanoate metabolism [PATH:ko00640]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Xenobiotics biodegradation and metabolism","  00621 Dioxin degradation [PATH:ko00621]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Xenobiotics biodegradation and metabolism","  00633 Nitrotoluene degradation [PATH:ko00633]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04215___146538_1","porC","K00172","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","pyruvate ferredoxin oxidoreductase gamma subunit","porG"
"PROKKA_04218___146544_1","narX_2","K07673","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX","narX"
"PROKKA_04219___146546_1","narL","K07684","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, NarL family, nitrate/nitrite response regulator NarL","narL"
"PROKKA_04220___146548_1","group_22711","K01867","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","tryptophanyl-tRNA synthetase","WARS, trpS"
"PROKKA_04222___146552_1","ifcA_18","K00244","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04222___146552_1","ifcA_18","K00244","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04222___146552_1","ifcA_18","K00244","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04222___146552_1","ifcA_18","K00244","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04222___146552_1","ifcA_18","K00244","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04222___146552_1","ifcA_18","K00244","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04222___146552_1","ifcA_18","K00244","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04223___146554_1","fccA_6","K00244","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04223___146554_1","fccA_6","K00244","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04223___146554_1","fccA_6","K00244","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04223___146554_1","fccA_6","K00244","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04223___146554_1","fccA_6","K00244","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04223___146554_1","fccA_6","K00244","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04223___146554_1","fccA_6","K00244","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04235___146578_1","hisH","K02501","Metabolism"," Amino acid metabolism","  00340 Histidine metabolism [PATH:ko00340]","glutamine amidotransferase","hisH"
"PROKKA_04235___146578_1","hisH","K02501","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamine amidotransferase","hisH"
"PROKKA_04236___146580_1","group_22725","K01814","Metabolism"," Amino acid metabolism","  00340 Histidine metabolism [PATH:ko00340]","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","hisA"
"PROKKA_04236___146580_1","group_22725","K01814","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","hisA"
"PROKKA_04239___146586_1","ifcA_19","K00244","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04239___146586_1","ifcA_19","K00244","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04239___146586_1","ifcA_19","K00244","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04239___146586_1","ifcA_19","K00244","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04239___146586_1","ifcA_19","K00244","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04239___146586_1","ifcA_19","K00244","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04239___146586_1","ifcA_19","K00244","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04243___146594_1","group_22732","K00208","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","fabI"
"PROKKA_04243___146594_1","group_22732","K00208","Metabolism"," Metabolism of cofactors and vitamins","  00780 Biotin metabolism [PATH:ko00780]","enoyl-[acyl-carrier protein] reductase I","fabI"
"PROKKA_04243___146594_1","group_22732","K00208","Metabolism"," Lipid metabolism","  00061 Fatty acid biosynthesis [PATH:ko00061]","enoyl-[acyl-carrier protein] reductase I","fabI"
"PROKKA_04246___146600_1","mrcA_2","K05367","Metabolism"," Glycan biosynthesis and metabolism","  00550 Peptidoglycan biosynthesis [PATH:ko00550]","penicillin-binding protein 1C","pbpC"
"PROKKA_04255___146618_1","group_22744","K15633","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_04255___146618_1","group_22744","K15633","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_04255___146618_1","group_22744","K15633","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_04255___146618_1","group_22744","K15633","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_04255___146618_1","group_22744","K15633","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_04260___146628_1","group_22749","K02821","Environmental Information Processing"," Membrane transport","  03070 Bacterial secretion system [PATH:ko03070]","PTS system, ascorbate-specific IIA component","PTS-Ula-EIIA, ulaC, sgaA"
"PROKKA_04260___146628_1","group_22749","K02821","Environmental Information Processing"," Membrane transport","  02060 Phosphotransferase system (PTS) [PATH:ko02060]","PTS system, ascorbate-specific IIA component","PTS-Ula-EIIA, ulaC, sgaA"
"PROKKA_04260___146628_1","group_22749","K02821","Metabolism"," Carbohydrate metabolism","  00053 Ascorbate and aldarate metabolism [PATH:ko00053]","PTS system, ascorbate-specific IIA component","PTS-Ula-EIIA, ulaC, sgaA"
"PROKKA_04272___146652_1","group_22760","K03525","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","type III pantothenate kinase","coaX"
"PROKKA_04274___146656_1","aruC","K00821","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","acetylornithine/N-succinyldiaminopimelate aminotransferase","argD"
"PROKKA_04274___146656_1","aruC","K00821","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","acetylornithine/N-succinyldiaminopimelate aminotransferase","argD"
"PROKKA_04274___146656_1","aruC","K00821","Metabolism"," Amino acid metabolism","  00330 Arginine and proline metabolism [PATH:ko00330]","acetylornithine/N-succinyldiaminopimelate aminotransferase","argD"
"PROKKA_04274___146656_1","aruC","K00821","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","acetylornithine/N-succinyldiaminopimelate aminotransferase","argD"
"PROKKA_04274___146656_1","aruC","K00821","Metabolism"," Amino acid metabolism","  00220 Arginine biosynthesis [PATH:ko00220]","acetylornithine/N-succinyldiaminopimelate aminotransferase","argD"
"PROKKA_04280___146668_1","group_22768","K01698","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","porphobilinogen synthase","hemB, ALAD"
"PROKKA_04287___146682_1","group_22774","K01955","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_04287___146682_1","group_22774","K01955","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_04289___146686_1","group_22776","K17103","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","CDP-diacylglycerol---serine O-phosphatidyltransferase","CHO1, pssA"
"PROKKA_04289___146686_1","group_22776","K17103","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","CDP-diacylglycerol---serine O-phosphatidyltransferase","CHO1, pssA"
"PROKKA_04290___146688_1","group_22777","K17103","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","CDP-diacylglycerol---serine O-phosphatidyltransferase","CHO1, pssA"
"PROKKA_04290___146688_1","group_22777","K17103","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","CDP-diacylglycerol---serine O-phosphatidyltransferase","CHO1, pssA"
"PROKKA_04300___146708_1","group_22787","K03752","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","molybdenum cofactor guanylyltransferase","mobA"
"PROKKA_04306___146720_1","gph_6","K01091","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","phosphoglycolate phosphatase","gph"
"PROKKA_04308___146724_1","suhB","K01092","Metabolism"," Carbohydrate metabolism","  00562 Inositol phosphate metabolism [PATH:ko00562]","myo-inositol-1(or 4)-monophosphatase","E3.1.3.25, IMPA, suhB"
"PROKKA_04308___146724_1","suhB","K01092","Metabolism"," Biosynthesis of other secondary metabolites","  00521 Streptomycin biosynthesis [PATH:ko00521]","myo-inositol-1(or 4)-monophosphatase","E3.1.3.25, IMPA, suhB"
"PROKKA_04308___146724_1","suhB","K01092","Environmental Information Processing"," Signal transduction","  04070 Phosphatidylinositol signaling system [PATH:ko04070]","myo-inositol-1(or 4)-monophosphatase","E3.1.3.25, IMPA, suhB"
"PROKKA_04312___146732_1","ahcY","K01251","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","adenosylhomocysteinase","E3.3.1.1, ahcY"
"PROKKA_04315___146738_1","group_22802","K00169","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","pyruvate ferredoxin oxidoreductase alpha subunit","porA"
"PROKKA_04315___146738_1","group_22802","K00169","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate ferredoxin oxidoreductase alpha subunit","porA"
"PROKKA_04315___146738_1","group_22802","K00169","Metabolism"," Xenobiotics biodegradation and metabolism","  00633 Nitrotoluene degradation [PATH:ko00633]","pyruvate ferredoxin oxidoreductase alpha subunit","porA"
"PROKKA_04315___146738_1","group_22802","K00169","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","pyruvate ferredoxin oxidoreductase alpha subunit","porA"
"PROKKA_04315___146738_1","group_22802","K00169","Metabolism"," Carbohydrate metabolism","  00640 Propanoate metabolism [PATH:ko00640]","pyruvate ferredoxin oxidoreductase alpha subunit","porA"
"PROKKA_04315___146738_1","group_22802","K00169","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","pyruvate ferredoxin oxidoreductase alpha subunit","porA"
